XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
579552.314,4439367.06,369,407,204,146.514688
579552.314,4439367.06,369,619,311,940.062482
578632.162,4439368.56,372,340,186,97.517752
578632.162,4439368.56,372,374,187,221.832903
578632.162,4439368.56,372,401,201,123.375827
578749.177,4439197.09,374,372,187,221.832903
572602.755,4439371.59,376,328,188,106.116486
572602.755,4439371.59,376,432,216,242.178981
572602.755,4439371.59,376,433,217,212.993514
578509.187,4439395.8,378,356,189,118.815655
578509.187,4439395.8,378,340,190,98.327656
578509.187,4439395.8,378,392,197,51.378185
541679.456,4439415.88,381,382,191,240.726503
541679.456,4439415.88,381,352,192,175.636064
541679.456,4439415.88,381,425,213,239.880932
541516.164,4439242.06,382,381,191,240.726503
579048.348,4439432.06,385,347,193,124.985803
579048.348,4439432.06,385,271,194,306.413501
579048.348,4439432.06,385,415,208,87.462474
540428.989,4439434.31,389,255,195,251.684692
540428.989,4439434.31,389,343,202,436.004191
540428.989,4439434.31,389,577,289,453.954897
578484.664,4439440.94,392,356,196,133.128714
578484.664,4439440.94,392,378,197,51.378185
578484.664,4439440.94,392,395,199,11.980237
578484.664,4439440.94,392,694,347,663.293813
578475.446,4439448.6,395,293,198,262.879351
578475.446,4439448.6,395,392,199,11.980237
578475.446,4439448.6,395,321,205,326.881775
578475.446,4439448.6,395,697,349,657.355693
570673.778,4439466.25,399,279,200,1005.14506
578604.672,4439468.7,401,372,201,123.375827
578604.672,4439468.7,401,405,209,92.85594
578671.502,4439479.54,405,406,203,253.384475
578671.502,4439479.54,405,401,209,92.85594
578671.502,4439479.54,405,427,214,106.826703
578851.623,4439301.62,406,405,203,253.384475
579635.958,4439487.05,407,369,204,146.514688
579635.958,4439487.05,407,419,210,43.818374
579635.958,4439487.05,407,421,212,70.896422
578098.617,4439492.48,411,289,206,345.03693
578098.617,4439492.48,411,321,207,278.602166
578098.617,4439492.48,411,462,231,155.266409
578098.617,4439492.48,411,462,266,846.751547
579101.842,4439501.22,415,385,208,87.462474
579613.666,4439523.56,419,407,210,43.818374
579613.666,4439523.56,419,421,211,67.681685
579613.666,4439523.56,419,536,268,345.479537
579678.152,4439544,421,419,211,67.681685
579678.152,4439544,421,407,212,70.896422
579678.152,4439544,421,501,251,381.330877
541488.194,4439555.91,425,381,213,239.880932
541488.194,4439555.91,425,465,233,234.666179
541488.194,4439555.91,425,465,234,151.076771
578745.977,4439556.02,427,405,214,106.826703
578745.977,4439556.02,427,347,215,332.403073
578745.977,4439556.02,427,488,244,157.349789
572751.393,4439560.72,432,376,216,242.178981
572751.393,4439560.72,432,433,218,195.039421
572751.393,4439560.72,432,474,237,144.949003
572557.794,4439571.52,433,376,217,212.993514
572557.794,4439571.52,433,432,218,195.039421
572557.794,4439571.52,433,437,220,106.736837
572557.794,4439571.52,433,477,239,106.989659
572451.063,4439572.61,437,328,219,306.533537
572451.063,4439572.61,437,433,220,106.736837
572451.063,4439572.61,437,441,222,102.734125
572348.336,4439573.84,441,262,221,405.424726
572348.336,4439573.84,441,437,222,102.734125
572348.336,4439573.84,441,445,224,106.94629
572348.336,4439573.84,441,483,242,107.358452
572241.805,4439580.82,445,251,223,429.421235
572241.805,4439580.82,445,441,224,106.94629
572241.805,4439580.82,445,539,270,205.006436
541248.028,4439602.46,449,343,225,588.378469
541248.028,4439602.46,449,299,226,406.340688
541248.028,4439602.46,449,453,227,5.997333
541248.028,4439602.46,449,458,229,6.388522
541253.282,4439605.35,453,449,227,5.997333
541253.282,4439605.35,453,456,228,180.818064
541253.282,4439605.35,453,458,230,3.49986
541253.282,4439605.35,453,469,235,142.796752
541167.552,4439446.16,456,453,228,180.818064
541251.081,4439608.08,458,449,229,6.388522
541251.081,4439608.08,458,453,230,3.49986
541251.081,4439608.08,458,493,247,103.766638
541251.081,4439608.08,458,854,427,606.376849
578064.083,4439642.43,462,411,231,155.266409
578064.083,4439642.43,462,496,249,63.53651
578064.083,4439642.43,462,411,266,846.751547
577871.305,4439647,464,243,232,560.343858
577871.305,4439647,464,496,248,191.709148
577871.305,4439647,464,538,269,135.362637
541387.441,4439666.91,465,425,233,234.666179
541387.441,4439666.91,465,425,234,151.076771
541387.441,4439666.91,465,469,236,11.154409
541378.625,4439673.75,469,453,235,142.796752
541378.625,4439673.75,469,465,236,11.154409
541378.625,4439673.75,469,807,404,478.309566
572832.893,4439675.06,474,432,237,144.949003
572832.893,4439675.06,474,475,238,94.895553
572832.893,4439675.06,474,590,295,210.272429
572738.008,4439676.48,475,474,238,94.895553
572738.008,4439676.48,475,477,240,176.300132
572738.008,4439676.48,475,565,284,273.328639
572561.716,4439678.23,477,433,239,106.989659
