XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
441380.7743,4374766.574,476,473,239,160.0033615
441380.7743,4374766.574,476,479,241,102.2542731
441278.5985,4374770.579,479,443,240,162.5198973
441278.5985,4374770.579,479,476,241,102.2542731
441278.5985,4374770.579,479,484,243,211.9788676
441278.5985,4374770.579,479,541,271,1653.666298
441068.4127,4374798.092,484,460,242,159.9757202
441068.4127,4374798.092,484,479,243,211.9788676
441068.4127,4374798.092,484,488,245,95.61790955
441068.4127,4374798.092,484,492,246,209.0469887
440973.5992,4374810.469,488,467,244,159.4301693
440973.5992,4374810.469,488,484,245,95.61790955
440973.5992,4374810.469,488,496,248,227.8040444
441096.3621,4375005.262,492,484,246,209.0469887
446399.7922,4375010.439,493,494,247,402.4811417
446399.7922,4375010.439,493,518,259,1036.442463
446399.7922,4375010.439,493,681,341,2305.960027
446428.2579,4374608.966,494,493,247,402.4811417
441002.7685,4375036.398,496,488,248,227.8040444
438893.9416,4374552.555,497,498,249,493.8979035
438893.9416,4374552.555,497,390,101804,96.59170797
438916.6843,4375045.491,498,497,249,493.8979035
438916.6843,4375045.491,498,533,101805,36.9937469
438900.5847,4375047.705,499,500,250,498.0782358
438900.5847,4375047.705,499,536,101806,35.16599249
438877.2156,4374550.679,500,499,250,498.0782358
438877.2156,4374550.679,500,387,101803,96.20303196
441525.9354,4375056.755,501,473,251,296.8104376
441525.9354,4375056.755,501,504,252,10.61848499
441525.9354,4375056.755,501,553,277,1501.271534
441536.5456,4375057.175,504,501,252,10.61848499
441536.5456,4375057.175,504,425,253,502.8818218
441536.5456,4375057.175,504,508,254,7.532796803
441536.5456,4375057.175,504,529,265,940.0694378
441544.0695,4375057.539,508,504,254,7.532796803
441544.0695,4375057.539,508,420,255,503.6800968
441544.0695,4375057.539,508,512,256,11.562822
441544.0695,4375057.539,508,532,266,939.2064322
441555.6178,4375058.118,512,508,256,11.562822
441555.6178,4375058.118,512,421,257,504.3383088
441555.6178,4375058.118,512,516,258,465.7936071
441555.6178,4375058.118,512,560,280,1516.368736
442021.3957,4375054.292,516,512,258,465.7936071
447406.1307,4375090.881,518,493,259,1036.442463
447406.1307,4375090.881,518,110,260,2555.817605
